LSOA,Disabled_Percentage
E01001569,12.4
E01001570,10.6
E01001571,10.9
E01001572,12.2
E01001573,13.2
E01001574,19.6
E01001575,17.2
E01001576,17
E01001577,14.5
E01001578,14.1
E01001579,15.6
E01001580,11.8
E01001581,16.7
E01001582,16.8
E01001583,13.6
E01001584,14.6
E01001585,12.8
E01001586,19.9
E01001587,13.1
E01001588,23.6
E01001589,17
E01001590,14.6
E01001591,17.6
E01001592,10
E01001593,12.5
E01001594,13.8
E01001595,15
E01001596,11.4
E01001597,15.4
E01001598,14
E01001599,14.5
E01001600,13.1
E01001601,15.5
E01001602,19.8
E01001603,21.5
E01001604,14.3
E01001605,13.6
E01001606,12.6
E01001607,14.3
E01001608,13.4
E01001609,17.1
E01001610,14.6
E01001611,17.7
E01001613,17.3
E01001614,13.2
E01001615,13.4
E01001617,16.6
E01001618,16
E01001619,12
E01001620,18.5
E01001621,20.6
E01001623,16.5
E01001624,17.8
E01001625,20.9
E01001629,15.8
E01001631,15
E01001632,14.8
E01001633,14.7
E01001634,18.4
E01001635,13.3
E01001636,13.7
E01001637,16.3
E01001638,17.8
E01001641,12.9
E01001642,10.6
E01001644,11.5
E01001645,16.6
E01001646,14.3
E01001647,17.9
E01001648,12.9
